soundcloud_name,song_name,genre,song_listens,timestamp,ig_handle,media_uploads,followers,following,engagement_rate,avg_likes,avg_comments
Liv O'Callaghan,Far Enough Away,ultimate,173,2020-08-14 03:21:05.407000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Liz Lawrence,California Screaming,indie,357,2020-08-11 01:28:28.465000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Lloyd Ballard,The Dying Of The Light - Noel Gallagher’s High Flying Birds (cover),ultimate,48,2020-08-14 03:45:49.538000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Loathe,Two-Way Mirror,ultimate,1144,2020-08-13 03:27:30.389000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Lobster Theremin,DISTANT002 // Chavinski - Fantasy EP,ultimate,3339,2020-08-16 19:05:47.027000+00:00,lobstertheremin,738,"23,816","2,018",1.38%,317.60,9.90
Local Natives,When Am I Gonna Lose You,indie,136000.0,2020-08-11 02:55:03.758000+00:00,localnatives,220,"94,424",9,3.19%,"2,962.80",48.65
Locked Groove,Oscillate,ultimate,900,2020-08-13 23:48:22.871000+00:00,lockedgroove,"2,706","8,147",876,1.10%,85.65,3.75
Loco_nyan,Southern All Stars _ 勝手にシンドバッド(Loco Edit),indie,37600.0,2020-08-11 00:58:13.745000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Lola Young,Woman,ultimate,1340,2020-08-13 00:55:56.403000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Lonely The Brave,Distant Light,ultimate,86,2020-08-13 03:19:35.207000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
LongLivThePlug,3am in LA (feat. Stefflon Don),ultimate,8221,2020-08-13 00:55:43.963000+00:00,ebenezersworld,112,"16,956","1,209",3.21%,518.05,26.65
Lorenzo de Blanck,Rewind,ultimate,120,2020-08-13 16:47:52.710000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Loski,On Me,rap,13600.0,2020-08-12 19:30:50.460000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Lotto Boyzz,+44 (feat. Dappy),rap,125000.0,2020-08-12 20:34:54.820000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Love Fame Tragedy,Riding a Wave,indie,79,2020-08-11 15:25:43.948000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Love Regenerator,Live Without Your Love (Extended Mix),ultimate,42200.0,2020-08-13 03:30:22.535000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Lucas Duggan 🍄,Corsa Split (Own Tune),ultimate,1043,2020-08-16 19:08:07.622000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Lucky Daye,Shoulda (feat. Babyface),ultimate,8602,2020-08-13 01:12:53.590000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Lucky Number Music,Darwin Deez - Radar Detector,indie,710000.0,2020-08-11 00:25:36.254000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Lucy Rose,Question It All,indie,1344,2020-08-11 01:14:03.372000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Luis Santos,"Sabias, Sabiá? (Luis Santos; Marcos Silva)",ultimate,162,2020-08-14 03:11:54.369000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Lukas Crozier,Mix #1 (own),ultimate,594,2020-08-14 00:00:47.421000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Lvlhumain,Sundara Karma -Flame (Roosevelt Remix),indie,102000.0,2020-08-11 00:24:15.517000+00:00,lvlhumain,n/a,n/a,n/a,n/a,n/a,n/a
Lyndrik Xela,Lyndrik Xela ft Big Tox - Bottom Line,ultimate,456,2020-08-14 03:50:36.629000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
M.O,Going Out Of My Way,rap,184000.0,2020-08-12 20:32:43.298000+00:00,momusic,482,"53,152",603,1.81%,938.60,23.35
M1LLIONZ,Y PREE,rap,377000.0,2020-08-12 19:36:56.660000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
M24,Peter Pan,rap,292000.0,2020-08-12 19:40:43.464000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
MASN,Psycho!,indie,13600000.0,2020-08-11 00:57:02.829000+00:00,masonrupper,84,"40,470",244,5.58%,"2,190.60",68.10
MAX LEONE,Malleable,indie,9930,2020-08-11 00:55:30.841000+00:00,itsmaxleone,90,"7,358",501,16.72%,"1,185.05",45.45
MC Kevin,Vida de Filme,ultimate,13400.0,2020-08-14 03:09:40.428000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
MEDIALIFTED RADIO,KALLITECHNIS - I Dont(J.ROBB Remix),ultimate,5820,2020-08-14 04:03:24.921000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
MEEK MILL,Going Bad (feat. Drake),rap,59700000.0,2020-08-12 20:18:11.291000+00:00,meekmill,33,"20,213,637","3,033",1.40%,"278,872.00","3,307.75"
MEEKZ MANCHESTER,Like Me,rap,59000.0,2020-08-12 19:33:54.198000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
MELLAH,Habit,indie,149,2020-08-11 01:31:46.770000+00:00,mellllah,114,"2,377",329,7.07%,160.30,7.75
MIA,Bad Girls,indie,71300.0,2020-08-11 02:58:29.373000+00:00,miamatangi,n/a,n/a,n/a,n/a,n/a,n/a
MICHELLE,THE BOTTOM,indie,6187,2020-08-11 01:27:30.847000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
MISS DEE,The Other Side,ultimate,524,2020-08-14 03:19:56.437000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
MK (Marc Kinchen),2AM (feat. Carla Monroe),ultimate,0,2020-08-13 03:29:35.590000+00:00,marckinchen,"1,033","223,069","2,942",2.23%,"4,822.30",150.90
MNELIA,SAY YEAH,rap,403000.0,2020-08-12 20:36:38.622000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
MUNA,I Know A Place,indie,202000.0,2020-08-11 15:26:50.976000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
MUSTARD,Ballin' (with Roddy Ricch),rap,92300000.0,2020-08-12 20:17:51.758000+00:00,mustard,27,"2,502,656",598,1.91%,"47,067.20",607.30
Machine Woman,Gift of admiration and gratitude,indie,15200.0,2020-08-11 00:44:16.170000+00:00,mmachinewwoman,292,"5,645","1,388",3.03%,158.00,13.30
Maggie Rogers,Light On,indie,245000.0,2020-08-11 18:42:04.008000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Magnetic Man,I Need Air (feat. Angela Hunte),ultimate,19400.0,2020-08-13 03:41:34.993000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Mahalia,Simmer (feat. Burna Boy),rap,689000.0,2020-08-12 20:25:49.242000+00:00,mahalia,481,"479,750","1,038",7.49%,"35,692.10",242.60
Majid Jordan,A Place Like This,indie,13400000.0,2020-08-11 00:31:33.179000+00:00,majidjordan,21,"312,848",117,8.05%,"24,723.80",457.35
Malin Genie,Malin Genie & Per Hammar - Scania (incl S.A.M. Reshape),ultimate,19900.0,2020-08-13 16:48:53.548000+00:00,malin_genie_,n/a,n/a,n/a,n/a,n/a,n/a
Manga Saint Hilare,Dumping Again,rap,322,2020-08-12 19:40:50.040000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Manny Norté,"Manny Norté, 6LACK, Rema, Tion Wayne - 4AM (feat. Love Renaissance (LVRN))",rap,170000.0,2020-08-12 20:34:21.905000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
March 13,March 13 - Best In Me,indie,1142,2020-08-11 00:43:23.391000+00:00,march13music,21,250,129,4.65%,36.65,2.45
Mariah the Scientist,Always n Forever (feat. Lil Baby),ultimate,892000.0,2020-08-16 18:22:52.201000+00:00,mariahthescientist,34,"168,949",54,23.39%,"38,838.60",672.10
Marie Dahlstrom,I Don’t Wanna Wake Up (Feat James Vickery),indie,7272,2020-08-11 02:53:05.418000+00:00,marie.dahlstrom,204,"8,739",915,4.69%,384.80,24.85
Marika Hackman,any human friend,indie,212,2020-08-11 18:39:22.403000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Marilyn Manson,WE ARE CHAOS,ultimate,6237,2020-08-13 15:04:05.499000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Mark Ronson,Bang Bang Bang,indie,1625,2020-08-11 20:18:46.524000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Mark Tarmonea,Mark Tarmonea & Yannek Maunz - Prelusion [OUT 24th May 2019],ultimate,8964,2020-08-13 16:48:44.944000+00:00,marktarmonea,253,"14,771","4,237",2.59%,359.75,22.80
Marlon Hoffstadt,Dansson & Marlon Hoffstadt – Shake That (Original Mix) (Preview),ultimate,2150000.0,2020-08-13 23:33:30.152000+00:00,marlonhoffstadt,33,"1,471",333,10.53%,145.85,9.05
Marmaroso,Marmar Oso - RUTHLESS,indie,14800000.0,2020-08-11 00:57:39.791000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Marmozets,Major System Error,ultimate,4798,2020-08-13 03:26:10.073000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Martha Hill Music,Grilled Cheese,indie,952,2020-08-11 01:29:44.423000+00:00,marthahillmusic,220,"2,590",490,5.26%,128.70,7.60
MarthaGunn,Caught Up & Confused,indie,22,2020-08-11 01:12:58.179000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Maslow Unknown,PREMIERE: Big Miz & Liam Doc - Play What You Got [SNF045],indie,2573,2020-08-11 00:31:00.755000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Mastermind,War (feat. Bandokay),rap,48300.0,2020-08-12 20:34:33.113000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Matrix & Futurebound,Control (feat. Max Marshall),ultimate,0,2020-08-13 03:43:09.399000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Matt Turnbull,Inspiral Carpets,ultimate,21800.0,2020-08-13 23:55:43.653000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
MattWills,Matt Wills - X Wing Thing [Free Download],ultimate,1805,2020-08-16 19:06:42.483000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Matthew Stewart⚛️,Anthem,ultimate,1430,2020-08-16 19:07:22.191000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Max Chapman,Make A Move (Extended Mix),ultimate,39400.0,2020-08-13 16:43:02.126000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Max Cooper,Swarm,indie,2118,2020-08-11 00:29:25.585000+00:00,maxcoopermax,881,"52,097",681,1.74%,887.70,16.25
Maya Jane Coles,Would You Kill (4 Me)?,indie,17400.0,2020-08-11 00:26:54.467000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Mc Jambo D 🎤,Half A World Away (Retaliate Makina Mix),ultimate,9629,2020-08-16 19:05:23.928000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Mc Manny RD,R.I.P ALOFOKE (Santiago Matias) TIRADERA By Mc Manny RD,ultimate,2,2020-08-16 19:15:39.459000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Mc Ryan Sp,Chimarrão,ultimate,35100.0,2020-08-14 03:16:39.712000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Megan Thee Stallion,Savage,rap,11200000.0,2020-08-12 20:32:30.662000+00:00,theestallion,387,"13,977,053","1,096",8.54%,"1,181,490.00","11,619.90"
Melanie Faye,It's a Moot Point,indie,19600.0,2020-08-11 02:52:48.790000+00:00,melaniefaye,307,"290,071","1,613",5.51%,"15,719.60",277.10
Melii,BDE,rap,3470000.0,2020-08-12 20:49:24.215000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Mella Dee,Sidney Street [Warehouse Music 013],ultimate,26500.0,2020-08-13 16:41:24.224000+00:00,melladee_,"1,767","45,105","1,300",2.18%,967.95,14.70
Memphis Industries,NZCA LINES - Prisoner of Love,ultimate,827,2020-08-13 14:29:20.659000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Mia Giovina,from the OTHER SIDE of the dining table (harry styles),ultimate,9119,2020-08-14 03:21:49.981000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
MichaelKiwanuka,Final Days (Bonobo Remix),indie,5151,2020-08-11 00:26:44.381000+00:00,michaelkiwanuka,n/a,n/a,n/a,n/a,n/a,n/a
Michel Cleis,Hey Lady Luck (Radio Edit),ultimate,0,2020-08-13 03:42:54.566000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Microdrive,03. Beneath Usual & M.A. - Anything And Everything (Mihai Popoviciu Remix),ultimate,2356,2020-08-13 16:45:16.697000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Migos,Racks 2 Skinny,rap,2480000.0,2020-08-12 20:43:38.968000+00:00,migos,"3,245","11,530,963",19,1.11%,"127,014.00",615.95
Miguel H,Miguel H - Top Hits #069 - Agosto 2020 [Descarga Gratis],ultimate,932,2020-08-16 19:15:32.442000+00:00,miguelh_dj,n/a,n/a,n/a,n/a,n/a,n/a
Mike Shinoda,Open Door,ultimate,5894,2020-08-13 15:05:06.007000+00:00,m_shinoda,"1,278","1,563,289",979,1.90%,"29,338.60",431.30
Miles Kane,Come Closer,indie,12400.0,2020-08-11 14:06:05.614000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Minost Project In The House,Alexis Y Fido Ft. Nigga Flex - Contestame Al Telefono (Minost Project Moombahton Remix),ultimate,1147,2020-08-16 19:12:26.834000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Miraa May,Say Yeah,rap,1391,2020-08-12 19:30:56.197000+00:00,miraa_may,122,"16,398",0,8.45%,"1,347.36",38.24
Mist,So High (feat. Fredo),rap,8360000.0,2020-08-12 20:25:27.381000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Mixmag,Premiere: Anja Schneider 'Mitte',indie,7039,2020-08-11 00:46:50.101000+00:00,mixmag,"7,105","734,449","1,337",1.04%,"7,438.75",183.80
MoEazy,Balance - Mo Eazy ft Mystro,rap,52,2020-08-12 20:22:51.072000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
MoStack,Staqdó,rap,15900.0,2020-08-12 20:35:39.171000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Moby,My Only Love (Modeselektor Remix),indie,1406,2020-08-11 00:27:16.871000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Model Man,Why?,indie,14,2020-08-11 00:31:40.313000+00:00,modelmangrams,38,"3,925",104,4.59%,174.90,5.30
Modesta Promo,Lisa Mercedez Ft IQ - Insecure (Raw) [Billionaire Sheikh Riddim],rap,2956,2020-08-11 23:21:30.132000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Mohammed Elnahwy,Yaiko Kaori - Maybe I'm Alone,indie,5555,2020-08-11 00:55:51.752000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Molly Payton,Corduroy,indie,1515,2020-08-11 18:47:49.488000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
MoneyBagg Yo,Said Sum,rap,2750000.0,2020-08-12 20:14:47.176000+00:00,moneybaggyo,56,"5,142,234",144,6.60%,"332,491.00","6,808.90"
Monstercat,Bossfight & Philip Strand - Voices,ultimate,24000.0,2020-08-16 19:06:27.739000+00:00,monstercat,"2,345","574,456",395,1.08%,"6,170.95",58.75
Monta Musica,Teaser: Lozza & Static - HMP2 (20 DJ Friendly Tracks),ultimate,2521,2020-08-13 23:57:36.703000+00:00,official_monta,303,"7,469","1,164",0.66%,0.00,0.00
Moods,Control,ultimate,11,2020-08-13 01:04:52.006000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Moon Boots,Together Forever,indie,6575,2020-08-11 00:44:58.783000+00:00,moonbootsmusic,703,"24,867","1,020",5.09%,"1,202.60",62.70
Mosca,Bax,ultimate,837,2020-08-13 03:40:10.398000+00:00,deejaymosca,770,"1,454",0,3.07%,42.45,2.15
Mounika.,Cut My Hair (feat. Cavetown),indie,7570000.0,2020-08-11 00:48:56.918000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Movimientos,Sanctuary Mix #19: Barbarella,ultimate,141,2020-08-14 03:10:20.355000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Movin,Movin - Sunrise (Bounce Mix),ultimate,9234,2020-08-13 23:55:04.495000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Mr Stabalina,Mr Stabalina - Boogie Down [Free Download],ultimate,3399,2020-08-16 19:08:49.974000+00:00,mrstabalina,132,801,848,4.21%,44.45,11.50
Mt. Joy,Let Loose,indie,589,2020-08-11 19:52:35.335000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Mt. Wolf,Tayrona (feat. Wilsen),indie,326,2020-08-11 18:48:45.533000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
MuUSW,"Silent Poets ""Moment Scale (Remix)""",ultimate,546,2020-08-13 16:46:56.892000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Muggs,The Other Side (Alastor & Husk's Song) | Hazbin Hotel,ultimate,12600.0,2020-08-14 02:58:13.456000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Mula Deejay 7.0,"Yandel, Rauw Alejandro - Dembow 2020 (Mula Deejay Rmx)",ultimate,3708,2020-08-16 19:11:43+00:00,mulaoficial,25,"5,878",52,1.46%,82.85,2.90
Mulatto,He Say She Say,rap,487000.0,2020-08-12 20:47:06.228000+00:00,mulatto,890,"4,457,515",635,6.71%,"295,480.00","3,647.00"
Mumford & Sons,Believe,indie,95100.0,2020-08-11 14:07:45.984000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Music Is My Sanctuary,"MIMS Guest Mix — MAFALDA (NTS Radio, UK / Portugal)",ultimate,0,2020-08-14 03:07:24.949000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Music is 4 Lovers,Elian Dust - Celtic Girl (Andrew Meller Remix) [Toolroom Trax] [MI4L.com],ultimate,1334,2020-08-13 16:46:01.540000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Mystery Jets,Witness,indie,326,2020-08-11 15:26:16.419000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
N-Dubz,Playing With Fire (feat. Mr Hudson),rap,0,2020-08-12 20:51:34.499000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
NAV,Chirp (feat. Quavo),rap,406000.0,2020-08-12 20:45:39.871000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
NCM REMIX,Guelan De La Rosa - Beat Reggaeton - Reproducers By NCM REMIX No Copyright FREE !!..,ultimate,27,2020-08-16 19:04:11.225000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
NCS,Defqwop - Say The Word (feat. The Ruins) [NCS Release],ultimate,212000.0,2020-08-13 01:00:05.410000+00:00,nocopyrightsounds,482,"295,265",101,1.64%,"4,800.00",45.75
NE-YO,U 2 Luv,ultimate,138000.0,2020-08-13 01:15:07.869000+00:00,neyo,n/a,n/a,n/a,n/a,n/a,n/a
NGwide Media,DJ Spinall Ft. Kranium – Everytime,rap,6123,2020-08-12 19:35:12.389000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
NLE Choppa,Narrow Road (feat. Lil Baby),rap,698000.0,2020-08-12 19:45:04.825000+00:00,nlechoppamusic,168,"1,284,438",0,7.00%,"89,328.10",601.90
NOISY,Where’s Your Head?,ultimate,1336,2020-08-13 15:00:50.922000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
NSG Music,MCM,rap,23300.0,2020-08-11 23:25:04.648000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Nadia Rose,Bad N Boujee,rap,691,2020-08-12 19:31:53.934000+00:00,nadiarosemusic,17,"84,426",303,4.48%,"3,680.76",103.65
Nadine Shah,Club Cougar,ultimate,197,2020-08-13 14:29:25.950000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Nafe Smallz,Ocean Deep (feat. Wretch 32),rap,36700.0,2020-08-12 20:36:27.209000+00:00,nafesmallz,35,"208,312",607,7.43%,"15,208.60",268.60
Naira Marley,As E Dey Go,rap,29300.0,2020-08-11 23:23:13.764000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Nakala,I'm Ready,ultimate,1194,2020-08-13 01:05:21.552000+00:00,nakalaviiv,175,"13,277",864,1.90%,235.70,16.25
Nancy,Orange Yellow Orange,indie,1279,2020-08-11 18:42:18.812000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Nathan McCusker (Follow me),Kevin & Perry Go Large (Nathan McCusker Mix),ultimate,8425,2020-08-13 23:54:36.400000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Nathanrenicks1,The Universe,ultimate,896,2020-08-16 19:08:37.262000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Naz T Musiq,How You Feel - Naz T Musiq,ultimate,34200.0,2020-08-16 18:25:44.381000+00:00,naz_t_musiq,n/a,n/a,n/a,n/a,n/a,n/a
Neck Deep,Fall,ultimate,10700.0,2020-08-13 03:18:43.757000+00:00,neckdeepuk,"1,206","382,499",135,2.94%,"11,120.50",127.65
Nero,Promises,ultimate,2050000.0,2020-08-13 23:32:26.574000+00:00,nero,215,"40,709",14,4.75%,"1,841.10",93.70
Nessa Barrett,Pain,ultimate,251000.0,2020-08-13 23:50:44.453000+00:00,nessabarrett,34,"3,357,849",299,22.73%,"754,333.00","8,959.30"
Nettwerk Music Group,Old Sea Brigade & Luke Sital-Singh - Summertime Low,indie,890,2020-08-11 18:48:04.713000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
New Radicals,You Get What You Give,indie,177000.0,2020-08-11 00:25:28.312000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Nice Guys,T. Evann - Clementine,indie,3986,2020-08-11 18:40:07.348000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Nick Blixky,Drive The Boat (feat. 22Gz & Nas Blixky),rap,3730000.0,2020-08-12 19:39:36.769000+00:00,nickblixky63,66,"52,802","1,214",13.34%,"6,435.05",609.30
Nicki Minaj,Yikes,rap,1290000.0,2020-08-11 23:26:00.311000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Nicole Orr,Rivers Flow in Aeroplanes✈️,ultimate,31000.0,2020-08-13 23:50:34.402000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Nihiloxica,Endongo,indie,1128,2020-08-11 00:29:18.571000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Nilüfer Yanya,H34T RISES,indie,0,2020-08-11 18:35:22.222000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Nob Nightcore,Love story discolines by ethanishung,ultimate,19700.0,2020-08-14 02:54:11.476000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Noriega JoJo,COMEBACK -RM1- JB,ultimate,1038,2020-08-13 01:16:48.278000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
NorthconnectionRPL,Josh Wink - Stay Out All Night (Radio Slave Remix),indie,2738,2020-08-11 00:30:29.297000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Northlane,Bloodline,ultimate,4021,2020-08-13 03:28:37.705000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Not Too Deep with Grace,Topher Grace - “Minor Adventures”,ultimate,0,2020-08-13 03:21:09.314000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Not3sOfficial,Highest,rap,2760,2020-08-12 19:32:02.998000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Nothing But Thieves,Is Everybody Going Crazy?,ultimate,39600.0,2020-08-13 03:19:09.963000+00:00,nothingbutthieves,"1,293","212,049",146,6.95%,"14,508.40",226.95
Nova Twins,Taxi,ultimate,1080,2020-08-13 03:17:24.491000+00:00,novatwinsmusic,824,"23,166",892,11.60%,"2,615.05",72.25
Novo Amor,Decimal,indie,6047,2020-08-11 18:37:40.841000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
O1 The Producer,Fibbz x Lo - No One,ultimate,7456,2020-08-14 02:54:59.764000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
OTNICKA,Otnicka - Babel (Official Release),ultimate,263000.0,2020-08-13 16:44:49.487000+00:00,otnicka,56,"12,148",70,4.08%,481.80,14.05
OUR CULTURE NOW,Two Fingers,indie,54100.0,2020-08-11 14:04:42.256000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
OZZIE,Johnny Rain - Mulholland Drive (OZZIE Remix),rap,582000.0,2020-08-12 19:35:24.002000+00:00,benjaminozzie,6,"2,494",600,--,0.00,0.00
Oasis,Don't Look Back In Anger,indie,0,2020-08-11 14:10:03.410000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Of Monsters and Men,Mountain Sound,indie,82900.0,2020-08-11 13:59:38.715000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Offica,Where's the Motive?,rap,33700.0,2020-08-12 19:34:44.277000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Official Aitch,"Aitch, AJ Tracey - Rain (feat. Tay Keith)",rap,4990000.0,2020-08-12 20:36:14.060000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Ola's Kool Kitchen,Ola's Kool Kitchen 417,ultimate,54,2020-08-14 03:05:01.121000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Ole Biege,Super Flu - 2DaBeat (Ole Biege Remix),ultimate,25600.0,2020-08-13 16:52:53.159000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Oliver Hoss,Kanojo Okarishimasu (Rent A Girlfriend) (OP/PV)(Oliver Hoss Remix),ultimate,9262,2020-08-14 00:05:29.328000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Oliver Malcolm,The Machine,ultimate,6420,2020-08-13 14:57:36.236000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Oliver Tree,Cash Machine,indie,8520000.0,2020-08-11 02:56:31.455000+00:00,olivertree,34,"1,626,122",1,29.32%,"327,306.00","149,464.00"
OluwaJBeats,"Owner (feat. AdeJosh, Charlie Mase & Keys The Prince)",rap,4002,2020-08-12 19:31:15.064000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Oma Nata,Let There Be Light,ultimate,310,2020-08-13 16:53:09.452000+00:00,omanatagram,59,580,876,2.90%,30.45,1.60
Omarion,Can You Hear Me? (feat. T-Pain),ultimate,127000.0,2020-08-13 01:17:37.939000+00:00,omarion,745,"3,950,879",215,2.07%,"80,977.60",860.05
OpenLab Radio,Selectors 59 [with AnaZú],ultimate,180,2020-08-14 03:12:08.835000+00:00,openlabradio,439,"3,046","1,563",1.02%,30.50,0.70
Orlando Weeks,Blame Or Love Or Nothing,indie,36,2020-08-11 01:34:15.542000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
Oscar Scheller,Famous Enough To Die,indie,1176,2020-08-11 01:27:56.283000+00:00,oscarscheller,222,"10,277",813,6.68%,665.15,21.60
Ostgut Ton | A-TON | unterton,Marcel Dettmann | Autumn77,ultimate,5760,2020-08-13 23:47:05.179000+00:00,ostgut_ton,269,"64,117",58,2.54%,"1,601.70",27.50
Otik,Four Feet,ultimate,173,2020-08-13 16:46:07.534000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
PALE WAVES,There's a Honey,indie,83000.0,2020-08-11 13:53:19.461000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
PAPER MILL,Dens in Your Front Room,ultimate,0,2020-08-13 03:28:51.055000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
PART FOUR,Redfield - Love Triangle,ultimate,1338,2020-08-13 16:44:22.613000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
PARTIAL,PARTIAL - DAWN,ultimate,376,2020-08-16 19:08:21.039000+00:00,,n/a,n/a,n/a,n/a,n/a,n/a
