soundcloud_name,song_name,genre,song_listens,timestamp,ig_handle,media_uploads,followers,following,engagement_rate,avg_likes,avg_comments,Engaged Fans
Etta Bond,On A Beach (feat. Avelino),ultimate,2737,2020-08-13 01:08:29.045000+00:00,ettabond,,,,,,,
Evans Junior,Know Better,rap,0,2020-08-12 20:15:19.911000+00:00,,,,,,,,
Everything But The Girl,Missing (2013 Remaster),indie,3953,2020-08-11 14:25:02.957000+00:00,,,,,,,,
Everything Everything,Arch Enemy,indie,2481,2020-08-11 15:26:35.790000+00:00,e_e_,,,,,,,
Everything Is Recorded,Everything Is Recorded feat. A.K. Paul - 05:10 AM / DREAM I NEVER HAD,indie,194,2020-08-11 20:14:43.322000+00:00,,,,,,,,
Exclusive Plug,#NPK Stewie x ND - Extinction #Exclusive,ultimate,18200,2020-08-14 02:54:31.108000+00:00,,,,,,,,
FERRENTINO ✪,"Urban, Dutch urban, Moombahton Mixtape 2020 / 2 / Zomer Editie",ultimate,3678,2020-08-16 19:12:13.656000+00:00,djferrentino,46,274,197,2.80%,18.65,1.45,8
FOALS,My Number,indie,581000,2020-08-11 13:54:45.703000+00:00,foals,,,,,,,
FOUR THIRTY TWO,Richy Ahmed - Bad Boy (432R015) [clip],indie,5894,2020-08-11 00:28:23.369000+00:00,fourthirty2,56,"2,312",142,5.54%,123.8,4.3,128
FUR,Waiting on You (Coming Back Home),indie,708,2020-08-11 01:30:04.379000+00:00,furbabyfur,232,"52,378",147,9.59%,"4,972.40",48.1,5023
Fakear,Sekoia,indie,4575,2020-08-11 00:29:49.270000+00:00,fakearmusic,"1,130","51,524",571,2.20%,"1,113.85",17.6,1134
Fangclub,Hesitations,ultimate,178,2020-08-13 03:25:17.116000+00:00,fangclubband,,,,,,,
Far Caspian,Today,indie,955,2020-08-11 18:43:09.143000+00:00,farcaspian,,,,,,,
Father John Misty,Anthem,indie,164,2020-08-11 01:33:56.687000+00:00,fatherjohnmisty,,,,,,,
Fearless Records,The Summer Set - Figure Me Out,indie,100000,2020-08-11 02:52:33.858000+00:00,the_summer_set,,,,,,,
Fenne Lily.,To Be A Woman Pt. 2,indie,58,2020-08-11 02:53:14.365000+00:00,fennelily,,,,,,,
Ferreck Dawn,By My Side | Out now!,ultimate,45600,2020-08-13 03:33:43.518000+00:00,ferreckdawn,"1,796","45,627",418,3.21%,"1,412.55",52,1465
Fickle Friends,Glue,indie,60800,2020-08-11 13:49:44.798000+00:00,ficklefriends,,,,,,,
First_Cut,Richard Be - A Saucer Full Of Sorrow,ultimate,51,2020-08-14 03:02:56.643000+00:00,,,,,,,,
Fivio Foreign,Wetty,rap,6710000,2020-08-12 19:39:21.694000+00:00,fivioforeign_8fs,,,,,,,
Fizzler,Relationships Freestyle,rap,815,2020-08-12 19:43:48.357000+00:00,fizzwetit,,,,,,,
Flaming Lips,Race for the Prize,indie,2254,2020-08-11 14:25:14.836000+00:00,iloveflaminglips,,,,,,,
Fletch,Love Love Love - Bella (Live),ultimate,637,2020-08-14 02:56:07.906000+00:00,,,,,,,,
Flipp Dinero,Jump Off,rap,425000,2020-08-12 20:45:55.984000+00:00,flippdinero,70,"624,998",826,1.89%,"11,571.80",245.95,11812
Flo Milli,Send The Addy,rap,27900,2020-08-11 23:27:01.928000+00:00,flomillishit,,,,,,,
Florence + The Machine,Dog Days Are Over,indie,376000,2020-08-11 13:58:24.704000+00:00,florence,,,,,,,
Flume,Never Be Like You,indie,640000,2020-08-11 02:59:25.879000+00:00,flume,"1,426","1,192,374","1,936",5.45%,"63,820.70","1,199.80",64984
Fly Boy *,My Friend - Solace,ultimate,21900,2020-08-13 23:46:40.901000+00:00,weareflyboy,249,421,591,2.36%,24.55,1.75,10
Flyte,Easy Tiger,indie,1589,2020-08-11 18:49:34.042000+00:00,__flyte__,,,,,,,
Fontaines D.C.,Boys in the Better Land (Radio Edit),indie,267,2020-08-11 02:55:44.336000+00:00,fontainesband,557,"93,468",326,5.38%,"4,973.75",54.15,5029
Fool's Gold Records,Lxury - Do This Forever,indie,9135,2020-08-11 00:44:50.786000+00:00,foolsgoldrecs,728,"74,299",152,0.37%,271.45,6.6,275
Format:B,Chunky,ultimate,29900,2020-08-13 16:39:23.488000+00:00,formatb.official,,,,,,,
Foster The People,Pumped Up Kicks,indie,17200000,2020-08-11 02:58:20.378000+00:00,fosterthepeople,"1,116","558,412",25,3.37%,"18,602.20",224.3,18818
Fourth Person Plural,No Alarm Clock Set,ultimate,270,2020-08-14 02:57:38.277000+00:00,,,,,,,,
FranciscoTorresOfficial,Daviles De Novelda - Dime (Fran Torres Edit)(Vers.Copy),ultimate,6743,2020-08-14 03:13:16.023000+00:00,,,,,,,,
Frank Carter,Fire,ultimate,1195,2020-08-13 03:20:56.857000+00:00,andtherattlesnakes,"1,388","75,343",22,4.11%,"3,061.70",36.35,3097
Franky Wah,Come Together (Original Mix),ultimate,79300,2020-08-13 03:36:19.207000+00:00,frankywahmusic,189,"23,146","1,342",4.60%,976.7,87.15,1065
Franz Ferdinand,Take Me Out,indie,0,2020-08-11 00:24:32.019000+00:00,franz_ferdinand,,,,,,,
Fredo,Scorpion,rap,223000,2020-08-12 20:32:07.651000+00:00,fredo,,,,,,,
Freegrant Music,Dabeat - Trilobit [Prog House],ultimate,760,2020-08-13 16:45:55.690000+00:00,freegrantmusic,149,941,100,2.10%,36.35,1.6,20
French Montana,That's A Fact,rap,27500,2020-08-12 19:39:03.115000+00:00,frenchmontana,,,,,,,
Friendly Fires,Silhouettes,indie,4463,2020-08-11 14:25:40.236000+00:00,friendlyfires,,,,,,,
Frosty,"Hate On Us (feat. Bandokay, Double Lz & OFB)",rap,541000,2020-08-12 19:39:15.233000+00:00,frostymusic_,,,,,,,
Full Crate,Brandy ft. Kyle Dion,ultimate,10300,2020-08-13 01:07:09.461000+00:00,fullcrate,482,"41,461","2,458",3.30%,"1,299.65",67.65,1368
Funkinova,Edwyn Collins - A Girl Like You,indie,16000,2020-08-11 14:23:11.946000+00:00,mredwyncollins,,,,,,,
Fur Echo,Screaming Underwater,ultimate,176,2020-08-14 03:02:18.892000+00:00,furecho,42,348,425,7.83%,0,0,27
Fuse ODG,Antenna (UK Radio Edit),rap,6771,2020-08-12 20:58:42.422000+00:00,fuseodg,,,,,,,
Future,"Life Is Good (Remix) [feat. DaBaby, Drake & Lil Baby]",rap,2690000,2020-08-12 20:49:38.880000+00:00,future,3,"15,824,713",0,3.08%,"481,886.00","6,077.33",487401
Future Generation,ThatBehavior & LUNIS - No Time To Die,ultimate,11600,2020-08-16 18:59:37.562000+00:00,futuregenerationofficial,89,"3,282",994,7.01%,191.75,38.30,230
Future Islands,Seasons (Waiting On You),indie,1510000,2020-08-11 00:25:51.798000+00:00,future_islands,11,191,"1,772",2.40%,16.55,0.45,5
Future Times,"Kush Jones - Earth Note - 12"" EP - FT055",indie,4971,2020-08-11 00:28:51.909000+00:00,kush_jones_,,,,,,,
G Herbo,Kill Shit (feat. Lil Bibby) [Bonus Track],rap,566000,2020-08-12 19:38:08.317000+00:00,nolimitherbo,904,"5,546,198","1,670",5.15%,"283,114.00","2,352.65",285629
G-EAZY,Still Be Friends (feat. Tory Lanez & Tyga),rap,309000,2020-08-12 20:50:06.400000+00:00,g_eazy,,,,,,,
G4 Boyz,Local Scammer (Remix) [feat. G4Choppa & Ivorian Doll],rap,14800,2020-08-12 19:42:24.061000+00:00,realg4boyzicebaby,"1,416","79,203",0,6.96%,"5,344.75",171.5,5513
GAIKA,Of Saints (feat. TAYHANA),indie,909,2020-08-11 00:30:08.915000+00:00,gaikasees,100,"23,714","2,157",1.70%,391.65,11.8,403
GEACHE,AGUA (GEACHE Remix) - J Balvin ft. Tainy (FREE DOWNLOAD),ultimate,8502,2020-08-16 19:14:05.267000+00:00,gabrielhong14,23,348,53,1.71%,16.65,0.4,6
GIRLI,Deal With It,ultimate,17100,2020-08-13 14:56:13.590000+00:00,girlimusic,613,"69,523","1,364",7.03%,"4,823.45",66.25,4887
GRLwood,I'm Yer Dad (Audiotree Live Version),ultimate,94500,2020-08-13 14:58:11.808000+00:00,grlwood_band,,,,,,,
GRM Daily,Amiri & Lamborghini (feat. Hardy Caprio & Lotto Ash),rap,14800,2020-08-12 19:44:30.967000+00:00,grmdaily,"26,750","1,699,127",811,0.48%,"7,921.90",159.95,8156
GUSSSTAVE,Just Like You,indie,3,2020-08-11 01:13:46.015000+00:00,gussstave,,,,,,,
GUZ,Guz & Tough Love - Dancin' Kinda Close,ultimate,156000,2020-08-13 16:38:12.514000+00:00,guzgrooves,74,"4,094",300,2.51%,0,0,103
GYPTXVN,AQUATIC RETALIATION,ultimate,271,2020-08-16 18:59:31.711000+00:00,gyptxvn,21,"1,341",859,--,0,0,#VALUE!
Gabriel Chanin,See What You Wanna See,ultimate,193,2020-08-14 03:44:00.009000+00:00,,,,,,,,
Ganar,Ganar - Nothing Left To Prove [Full Production Mix],ultimate,1377,2020-08-13 23:57:58.161000+00:00,,,,,,,,
Gareth Wyn,The Gossip 'Standing In The Way Of Control' (Gareth Wyn Remix),indie,23500,2020-08-11 14:04:07.516000+00:00,,,,,,,,
Gasper Narby,Eighteen,indie,15,2020-08-11 20:15:12.901000+00:00,,,,,,,,
Gemma Dunleavy,Cruisin,ultimate,149,2020-08-13 01:01:32.823000+00:00,gemmadunleavy_,,,,,,,
Gengahr,Heavenly Maybe,indie,15600,2020-08-11 02:56:48.247000+00:00,gengahr,,,,,,,
George FitzGerald,Nobody But You (feat. Hudson Scott),ultimate,9264,2020-08-13 16:54:15.489000+00:00,georgefitzmusic,108,"28,228",470,2.36%,644.7,21.8,666
Georgia,About Work The Dancefloor (Edit),indie,70600,2020-08-11 13:49:31.017000+00:00,georgiauk,,,,,,,
Geovarn,Still Mean,rap,317,2020-08-12 19:33:13.923000+00:00,geovarn,24,"13,473",777,6.44%,828.5,38.9,868
GerardWay,Here Comes the End (feat. Judith Hill),ultimate,3831,2020-08-13 15:05:44.913000+00:00,gerardway,,,,,,,
Gerry Cinnamon,Sometimes,indie,255000,2020-08-11 02:59:50.209000+00:00,gerrycinnamon,,,,,,,
Ghetto Witchez,AFERRADXS - JAGS DJ SET,ultimate,361,2020-08-16 19:12:39.965000+00:00,ghettowitchez,172,"1,274",311,2.81%,35,0.8,36
Ghetts,Mozambique (feat. Jaykae & Moonchild Sanelly),rap,25000,2020-08-12 19:34:08.563000+00:00,therealghetts,,,,,,,
Ghostpoet,I Grow Tired But Dare Not Fall Asleep,indie,437,2020-08-11 01:32:40.274000+00:00,ghostpoet,,,,,,,
Girl Ray,Just Like That,indie,164,2020-08-11 18:49:13.646000+00:00,girlrayband,,,,,,,
Giuseppe Visciano,Aiho - Purple Haze (Giuseppe Visciano Psychedelic Remix) // Little Genius Records,rap,6144,2020-08-12 19:40:20.622000+00:00,,,,,,,,
Giveon,LIKE I WANT YOU,ultimate,1060000,2020-08-13 01:12:38.745000+00:00,giveon,74,"252,637",124,25.14%,"62,386.20","1,135.50",63513
Gizmo Varillas,One Day at a Time,indie,22,2020-08-11 02:51:54.134000+00:00,gizmovarillas,"1,771","2,200",857,3.16%,65.35,4.2,70
Glass Animals,Life Itself,indie,1380000,2020-08-11 02:53:41.070000+00:00,glassanimals,91,"331,550",737,7.19%,"23,472.00",363.55,23838
Glitterbox,Melvo Baptiste Featuring Phebe Edwards 'Bad Company' - Out 14/08,ultimate,2201,2020-08-16 18:24:11.266000+00:00,glitterboxibiza,"1,667","133,096",352,1.04%,"1,338.95",45.75,1384
Gold Empire Ent.,I dont want no thot (beat 4 sale),ultimate,263000,2020-08-13 15:08:08.713000+00:00,,,,,,,,
Gorgon City,All Four Walls (Maya Jane Coles Remix) [feat. Vaults],ultimate,23200,2020-08-13 03:43:26.883000+00:00,gorgoncity,"2,520","161,641","1,339",2.04%,"3,193.85",103.55,3297
Gouranga,PREMIERE: Detroit Swindle Feat. Jitwam - Coffee In The Morning (Prins Thomas Diskomiks),indie,10000,2020-08-11 00:30:55.540000+00:00,prinsthomas,109,"16,099","4,910",0.18%,26.65,2.45,29
Grace Gillespie,Empty In The Capital,indie,1025,2020-08-11 18:39:48.123000+00:00,gracegillespiemusic,,,,,,,
Gracie,Under / Over,indie,3754,2020-08-11 00:59:48.875000+00:00,gracieabrams,854,"344,416",919,8.48%,"28,801.80",397.8,29206
GranPa,Daniel Johnston - Some things last a long time,indie,86200,2020-08-11 14:21:29.772000+00:00,,,,,,,,
Grey Daze,Morei Sky,ultimate,265,2020-08-13 03:18:07.901000+00:00,greydazeofficial,,,,,,,
Grizzly Bear,Two Weeks,indie,120000,2020-08-11 13:51:39.157000+00:00,grizzlybear,,,,,,,
Groove City Radio,HAPPY MONDAZE RADIO SHOW - Carnabay Paton /// 27th July '20,ultimate,4,2020-08-14 03:03:34.749000+00:00,,,,,,,,
Groove Magazin,Richie Blacker – Summer Of Rave 89,ultimate,3149,2020-08-13 16:42:32.590000+00:00,groove_mag,852,"22,835",376,0.38%,85,0.95,87
Gudu Records,Peggy Gou - Han Pan,ultimate,253000,2020-08-13 16:50:40.745000+00:00,peggygou_,,,,,,,
Gunna,Wunna,rap,2890000,2020-08-12 20:43:54.424000+00:00,gunna,138,"3,153,098",442,8.20%,"254,093.00","4,430.65",258554
Guti,Every Cow Has A Bird (original mix),ultimate,1962,2020-08-13 16:45:05.711000+00:00,holaguti,,,,,,,
Guvna B,Daily Duppy,rap,434,2020-08-12 19:42:54.313000+00:00,guvnab,426,"50,342",494,7.03%,"3,373.85",165.15,3539
Guy Gerber,What To Do (&ME Remix),ultimate,774000,2020-08-13 16:49:02.047000+00:00,guygerber,"2,691","175,550","1,185",2.20%,"3,733.30",126.5,3862
H O W L I N G,Need You Now (Adriatique Remix) [feat. Frank Wiedemann & RY X],indie,3696,2020-08-11 00:28:29.939000+00:00,howlingmusic,,,,,,,
H Two O,What's It Gonna Be (feat. Platnum),rap,2645,2020-08-12 21:09:52.173000+00:00,htwooofficial,,,,,,,
H.E.R.,Do To Me,rap,13400,2020-08-11 23:21:50.865000+00:00,hermusicofficial,,,,,,,
HAAi,Head Above The Parakeets,indie,1845,2020-08-11 00:26:33.187000+00:00,haaihaaihaai,,,,,,,
HAIM,Falling,indie,0,2020-08-11 14:04:51.762000+00:00,haimtheband,,,,,,,
HEXAGON,Lulleaux - Sweet Little Lies,ultimate,11900,2020-08-14 00:04:41.286000+00:00,hexagonhq,"1,759","278,179",162,0.97%,"2,651.70",51.4,2698
HIGH CONTRAST,Remind Me,ultimate,0,2020-08-13 03:39:54.282000+00:00,linkcontrast,,,,,,,
HONNE,la la la that’s how it goes,indie,12300,2020-08-11 01:33:16.291000+00:00,hellohonne,,,,,,,
Haier,"J Balvin, Dua Lipa, Bad Bunny, Tainy & Major Lazer - One Day (Haier Mashup)",ultimate,727,2020-08-16 19:11:57.164000+00:00,haiermusicproduction,11,651,108,4.25%,52.3,1.5,28
Hailaker,Wild,indie,276,2020-08-11 18:48:25.267000+00:00,hailakerbro,,,,,,,
Hak Baker,PC Plod,ultimate,54,2020-08-13 15:03:21.505000+00:00,hakbaker,328,"21,583","1,523",9.03%,"1,855.80",93.05,1949
Half Moon Run,Monster,indie,591,2020-08-11 02:51:07.438000+00:00,halfmoonrun,,,,,,,
Hamilton Leithauser,Isabella,indie,825,2020-08-11 19:54:02.959000+00:00,hamiltonleithauser,,,,,,,
Hannah Wants,Rhymes,ultimate,86300,2020-08-13 03:42:39.282000+00:00,hannah_wants,"3,434","135,014",368,0.93%,"1,218.35",35.8,1256
Hard Fi,Hard to Beat,indie,26200,2020-08-11 13:54:21.618000+00:00,,,,,,,,
Hardstyle,Remzcore - Warrior,ultimate,3469,2020-08-14 00:04:17.604000+00:00,remzcore,,,,,,,
Hardy Caprio,XYZ,rap,291000,2020-08-12 20:31:38.498000+00:00,hardycaprio,,,,,,,
Hazel English,Never Going Home,indie,0,2020-08-11 18:37:21.804000+00:00,hazelenglishmusic,,,,,,,
Headie One,Headie One x Drake - Only You Freestyle,rap,1070000,2020-08-11 23:44:36.752000+00:00,headieone,,,,,,,
Headmaster Hastings,Accidents Will Happen (Cover By Headmaster Hastings),ultimate,2775,2020-08-14 03:44:27.726000+00:00,,,,,,,,
HeadzUp,Not Myself,ultimate,490,2020-08-14 00:00:26.721000+00:00,headzupmusic,,,,,,,
HeavyocityMedia,Infiltrator 2 - Dave Fraser (Damage 2 Only),ultimate,4757,2020-08-16 19:09:30.702000+00:00,heavyocity,459,"13,493",299,1.12%,141.9,9.05,151
Hector Plimmer,Wall Street featuring Andrew Ashong,indie,216,2020-08-11 00:46:34.276000+00:00,hector_plimmstagram,898,"3,268","1,473",4.21%,127.04,10.44,138
Heliotype (Stuart Millar),Majika,ultimate,112,2020-08-13 16:48:36.737000+00:00,stuart.millar,,,,,,,
Henrique Zumba,Nina Kraviz - Dream Machine,ultimate,4923,2020-08-13 16:49:34.196000+00:00,ninakraviz,,,,,,,
HighVibeLive,High Vibe Live: Summer Vibe Series ft. KRONIKA,ultimate,3226,2020-08-14 04:02:01.344000+00:00,,,,,,,,
Higher Power,Seamless,ultimate,80,2020-08-13 03:25:57.057000+00:00,higherpowerleeds,,,,,,,
HollywoodUndead,Idol (feat. Tech N9ne),ultimate,8196,2020-08-13 03:21:47.276000+00:00,hollywoodundead,,,,,,,
Homes,Lightning/Thunder ft. Notsogud,ultimate,76,2020-08-14 03:06:05.830000+00:00,homestheband,16,139,59,3.02%,16.36,0.93,4
Hot Chip,Over And Over,indie,6333,2020-08-11 13:50:46.353000+00:00,hot.chip,189,"49,576",55,3.17%,"1,535.05",35.95,1572
Hot Creations,Skream & Tom Demac - EMF (Jamie Jones Rework),ultimate,12600,2020-08-13 16:42:56.429000+00:00,skreamizm,,,,,,,
Hot Since 82,Hot Since 82 - Eye Of The Storm (feat. Liz Cass),indie,33700,2020-08-11 00:28:34.218000+00:00,hotsince82,,,,,,,
Hottrax,RareTwo Inc - Cum 2Geza,ultimate,13000,2020-08-13 16:46:21.408000+00:00,,,,,,,,
House of Youth,"Nuage, Omfeel - There's No End in the Beginning",ultimate,5804,2020-08-13 16:50:12.821000+00:00,,,,,,,,
Houseum,PREMIERE: Barry Can't Swim - Sunday At Glasto [Barry's Track],ultimate,3215,2020-08-13 16:41:31.400000+00:00,houseumrecords,23,"6,956",235,4.09%,270.7,13.8,285
Hypho,Hypho - About Me [Forthcoming Vinyl],ultimate,1253,2020-08-16 19:07:12.303000+00:00,,,,,,,,
I.v Sixteen,No Sleep,rap,15100,2020-08-12 20:21:39.601000+00:00,,,,,,,,
IDLES,Grounds,ultimate,4548,2020-08-13 03:17:36.695000+00:00,idlesband,,,,,,,
IDPizzle,Billie Jin,rap,4562,2020-08-12 20:23:18.693000+00:00,,,,,,,,
IDs Coming,Dimension & Sharlene Hector - Saviour (Coming Soon),ultimate,3012,2020-08-13 03:36:33.554000+00:00,dimension,,,,,,,
ILLENIUM,The Chainsmokers - Don't Let Me Down (Illenium Remix),ultimate,121000000,2020-08-13 16:42:25.945000+00:00,illeniummusic,658,"598,262",530,9.31%,"55,036.20",653.8,55698
IMMORTALIZED DJ's,Jona D - Hot Plate World,ultimate,523,2020-08-13 23:59:23.936000+00:00,immortalized_djs,,,,,,,
INSOMNIAC,Track of the Day: Gab Rhome “La Maison”,ultimate,8167,2020-08-13 16:53:33.765000+00:00,insomniacevents,"11,567","700,663",56,0.23%,"1,580.25",32.5,1612
IYAMAH,Won't Work,ultimate,217,2020-08-13 01:04:22.671000+00:00,iyamah_artist,,,,,,,
IZCO,Gifted (feat. Dochi),indie,14,2020-08-11 00:28:38.990000+00:00,izzycofie,,,,,,,
Icarus,Echoes,ultimate,21000,2020-08-13 23:45:37.134000+00:00,thisisicarus,244,"8,160",787,3.45%,265.4,16.1,282
Idris Elba,One Fine Day (feat. Tiggs Da Author),ultimate,66100,2020-08-13 03:37:03.777000+00:00,idriselba,3,"4,734,421",392,2.63%,"123,868.00",793.67,124515
Ignxss Beats,J Balvin x Sech x Justin Quiles Type Beat Reggaeton - Miami,ultimate,22,2020-08-16 19:13:33.044000+00:00,ignxssbeats,,,,,,,
Ikonika,Your Body,indie,2274,2020-08-11 00:45:30.442000+00:00,,,,,,,,
Imanbek,I'm Just Feelin' (Du Du Du),ultimate,20200,2020-08-13 03:34:44.621000+00:00,imanbekmusic,,,,,,,
Interesting Hobbies Club,Beach Plums,ultimate,20,2020-08-14 03:02:06.080000+00:00,interestinghobbiesclub,22,551,238,10.39%,103.75,5.4,57
Iration,Summer Nights,indie,1820000,2020-08-11 00:58:24.434000+00:00,iration,"3,532","237,055",118,1.14%,"2,601.60",91,2702
Iris Aeria,Reasons - freestyle,ultimate,84,2020-08-14 04:02:53.790000+00:00,,,,,,,,
Isaac,Other Way,ultimate,2655,2020-08-13 01:06:53.263000+00:00,w_dders,433,"82,288",631,2.75%,"2,245.90",18.6,2263
Isaac Firth,Hurricane,ultimate,2909,2020-08-16 19:05:56.937000+00:00,isaac._.firth,,,,,,,
Isaac Tichauer,Higher Level (Bicep Remix),ultimate,28700,2020-08-13 16:39:57.752000+00:00,isaactichauer,,,,,,,
Isaac_cadds,RM - Warning,ultimate,23900,2020-08-14 00:06:01.474000+00:00,isaac_cadds,,,,,,,
Island Beats Music,Jordy Sánchez - Surf To Go (Original Mix) Snippet,ultimate,1395,2020-08-13 16:48:23.588000+00:00,islandbeatsmusic,878,"52,856",695,0.32%,158.5,9.95,169
Island Time Radio,Island Time Radio: Mix 10,ultimate,97,2020-08-14 03:13:58.378000+00:00,island_time_radio,30,161,141,--,0,0,#VALUE!
Islander,Freedom (feat. AJ Channer of Fire From The Gods),ultimate,4,2020-08-13 03:22:12.848000+00:00,islander,,,,,,,
Ivan L. Pierce,"No More Goodbyes, Just Goodnights",ultimate,121,2020-08-13 01:02:14.575000+00:00,,,,,,,,
Ivorian Doll,Rumours,rap,430000,2020-08-12 19:37:45.298000+00:00,ivoriandoll,,,,,,,
Izzie Gibbs,Join The Club,rap,1349,2020-08-12 19:44:05.522000+00:00,izziegibbs,22,"45,137",773,6.83%,"2,929.10",155.1,3083
Izzy Bizu,Tough Pill,ultimate,159,2020-08-13 00:54:21.957000+00:00,izzybizu,,,,,,,
J E T T A,I Wanna Know,indie,1155,2020-08-11 02:50:55.347000+00:00,jettagram,99,"11,155",151,1.87%,198.6,9.9,209
J Hus,Play Play (feat. Burna Boy),rap,634000,2020-08-12 20:37:12.196000+00:00,mainohustlehard,,,,,,,
J Orison,Open Letter (Demo),ultimate,100,2020-08-16 18:25:13.740000+00:00,section436,3,51,1,--,0,0,#VALUE!
J o j o o o milk • Slowed it....,C h e r r y Flavoured-The Neighbourhood(S l o w e d+reverb),ultimate,18700,2020-08-14 03:46:49.299000+00:00,,,,,,,,
J. Cole,Lion King On Ice,rap,649000,2020-08-12 19:31:10.296000+00:00,,,,,,,,
J.I.,Need Me,rap,2070000,2020-08-12 20:48:04.101000+00:00,,,,,,,,
J22Beatz,High Life - TyFontaine x Lil Uzi Vert ft. The Kid LAROI Type Beat (Prod. J22Beatz),ultimate,42,2020-08-16 19:02:24.703000+00:00,j22beatz,,,,,,,
JACKBOYS,"JACKBOYS, Pop Smoke & Travis Scott - GATTI",rap,3100000,2020-08-12 19:35:50.481000+00:00,,,,,,,,
JACKPØT,Yellow Claw & Crisis Era - Free Your Mind (JACKPØT REMIX)[FREE DOWNLOAD],ultimate,1653,2020-08-14 00:04:06.475000+00:00,its_jackpotmusic,,,,,,,
JAY OLE HOTAZZ,la capone Play For Keeps,rap,208000,2020-08-12 19:39:08.989000+00:00,jay_ole_hotazz,,,,,,,
JAY1,TEE (feat. Loski),rap,80200,2020-08-11 23:44:26.945000+00:00,jay1official_,,,,,,,
JAZ KARIS,Hold You,ultimate,636,2020-08-13 01:02:58.995000+00:00,jaz_karis,52,"25,273",987,9.30%,"2,295.25",54.9,2350
JB SCOFIELD,Crazy Cousins Freestyle,rap,2592,2020-08-12 19:34:34.295000+00:00,jbscofield_,35,"52,969",989,15.60%,"7,973.95",291.35,8263
JDRMadeThis,"[FREE] Gucci Mane x Future Type Beat - ""Time""",ultimate,165,2020-08-16 18:59:47.395000+00:00,jdrmadethis,8,611,121,--,0,0,#VALUE!
JGS & AMMO-T PRODUCTIONS,JGS & AMMO - T - Forget You (Free Download),ultimate,2241,2020-08-16 19:05:29.920000+00:00,jgsammotproductions,,,,,,,
JGrrey,Ain't So,ultimate,3613,2020-08-13 01:06:20.606000+00:00,jgrrey,27,"61,072",957,7.28%,"4,355.75",89.6,4446
JLS,One Shot,rap,15300,2020-08-12 21:11:22.513000+00:00,,,,,,,,
JOHN (TIMESTWO),Western Wilds,ultimate,26,2020-08-13 03:27:04.818000+00:00,john_timestwo_band,,,,,,,
JULIUS DE-LA ROSE,Patek Water (DED FED) Remix - Future,rap,13400,2020-08-12 20:19:10.635000+00:00,juliusdelarose,,,,,,,
JUNGLE.,Busy Earnin',indie,2280000,2020-08-11 02:59:00.884000+00:00,jungle4eva,,,,,,,
Jack Beattie♕,We Don't Need No Sleep,ultimate,13100,2020-08-13 23:52:12.167000+00:00,jackbeattie_,,,,,,,
Jack Finney,Sundara Karma - Live at TRNSMT 2017,indie,579,2020-08-11 02:57:39.161000+00:00,sundarakarma,,,,,,,
Jack Harlow,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) (Remix)",rap,5230000,2020-08-12 19:31:43.177000+00:00,jackharlow,315,"1,133,584",990,14.15%,"157,815.00","2,545.75",160402
Jack Penate,Torn on the Platform,indie,447,2020-08-11 00:24:57.749000+00:00,jackpenate,,,,,,,
Jacquees,Put In Work,ultimate,4030000,2020-08-13 00:57:15.238000+00:00,jacquees,29,"4,667,514",165,2.18%,"100,576.00","1,284.80",101752
Jade Emperor,Greener - OUT NOW,ultimate,17,2020-08-13 01:06:34.572000+00:00,,,,,,,,
Jaheira88,It's oh so quiet - Bjork Version (Vocal Cover by Flavia),indie,45900,2020-08-11 14:19:24.866000+00:00,,,,,,,,
Jaido P,Tesina pot ft. Olamide,rap,559,2020-08-11 23:20:45.819000+00:00,jaido_p,,,,,,,
Jake Banfield,Jake Banfield - Numb,ultimate,11600,2020-08-14 03:21:35.928000+00:00,jakebanfieldmusic,,,,,,,
Jake Isaac,"Brother (feat. Bianca Rose, Guvna B & Joshua Luke Smith)",ultimate,63,2020-08-13 01:02:43.836000+00:00,iamjakeisaac,,,,,,,
James,Sit Down,indie,21800,2020-08-11 14:05:46.108000+00:00,james,,,,,,,
James Blake,Are You Even Real?,indie,105000,2020-08-11 01:33:02.014000+00:00,jamesblake,,,,,,,
James Daniels,Drilla J x P.Dough - Lonsdale Creps,ultimate,30900,2020-08-14 02:55:41.210000+00:00,visualjdaniels,,,,,,,
James Lovett,So Hooked On Your Loving,ultimate,8847,2020-08-13 23:54:55.568000+00:00,,,,,,,,
James Vincent McMorrow,Headlights,indie,6495,2020-08-11 02:53:20.668000+00:00,jamesvmcmorrow,,,,,,,
Jamie Munro,Sunrise BOUNCY (sped Up),ultimate,7920,2020-08-16 19:05:19.753000+00:00,,,,,,,,
Jamie T Music,Sheila,indie,46800,2020-08-11 14:02:09.194000+00:00,jamietmusic,,,,,,,
Jamie xx,Jamie xx - Idontknow,indie,12500,2020-08-11 00:29:31.885000+00:00,jamie___xx,,,,,,,
Jarami,Hold On,ultimate,2239,2020-08-13 16:47:04.343000+00:00,jaramimusic,50,"9,494",272,4.56%,399.75,33.05,433
Jaspa Muzik,THE FARMER NAPPY PROJECT,ultimate,555,2020-08-16 19:12:20.331000+00:00,jaspamuzik,,,,,,,
Javed Moore,Jav's Garage & Soca classics Mixdown 2020,ultimate,7,2020-08-16 19:11:49.172000+00:00,,,,,,,,
